week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
0,1RYG,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,2RYGP,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,3RP,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,4YP,0,12,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,5GP,0,0,12,0,0,0,16,1,0,0,0,0,0,0,0,0
0,6RYG,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,7RYGP,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,8RP,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,9YP,0,12,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,10GP,0,0,12,0,0,0,16,1,0,0,0,0,0,0,0,0
0,11RYG,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,12RYGP,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,13RP,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,14YP,0,12,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,15GP,0,0,12,0,0,0,16,1,0,0,0,0,0,0,0,0
0,16RYG,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,17RYGP,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,18RP,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,19YP,0,12,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,20GP,0,0,12,0,0,0,16,1,0,0,0,0,0,0,0,0
0,21RYG,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,22RYGP,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,23RP,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,24YP,0,12,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,25GP,0,0,12,0,0,0,16,1,0,0,0,0,0,0,0,0
0,26RYG,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,27RYGP,4,4,4,0,0,0,16,1,0,0,0,0,0,0,0,0
0,28RP,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,29YP,0,12,0,0,0,0,16,1,0,0,0,0,0,0,0,0
0,30GP,0,0,12,0,0,0,16,1,0,0,0,0,0,0,0,0
1,1RYG,186,154,174,0,0,0,8,1,0,0,0,0,0,0,0,0
1,2RYGP,174,76,134,0,0,0,8,1,0,0,0,0,0,0,0,0
1,3RP,642,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
1,4YP,0,550,0,0,0,0,8,1,0,0,0,0,0,0,0,0
1,5GP,0,0,350,0,0,0,8,1,0,0,0,0,0,0,0,0
